序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
187,pt186,3483083.0482,1224238.1273,35.0145," 31:14:40.84290"," 121:35:32.85729",35.0145,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:17.0,2020-01-02 11:15:17.0,2020-01-02 03:15:17.0,2020-01-02 03:15:17.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:23:33.06"
188,pt187,3483083.0471,1224238.1251,35.0145," 31:14:40.84287"," 121:35:32.85721",35.0145,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:18.0,2020-01-02 11:15:18.0,2020-01-02 03:15:18.0,2020-01-02 03:15:18.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:59:40.23"
189,pt188,3483083.0487,1224238.1271,35.0095," 31:14:40.84292"," 121:35:32.85729",35.0095,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:19.0,2020-01-02 11:15:19.0,2020-01-02 03:15:19.0,2020-01-02 03:15:19.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:01"," 196:49:36.46"
190,pt189,3483083.0486,1224238.1247,35.0095," 31:14:40.84292"," 121:35:32.85720",35.0095,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:20.0,2020-01-02 11:15:20.0,2020-01-02 03:15:20.0,2020-01-02 03:15:20.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 196:16:12.72"
191,pt190,3483083.0482,1224238.1249,35.0045," 31:14:40.84291"," 121:35:32.85720",35.0045,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:21.0,2020-01-02 11:15:21.0,2020-01-02 03:15:21.0,2020-01-02 03:15:21.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 196:09:52.23"
192,pt191,3483083.0498,1224238.1262,34.9995," 31:14:40.84296"," 121:35:32.85726",34.9995,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:22.0,2020-01-02 11:15:22.0,2020-01-02 03:15:22.0,2020-01-02 03:15:22.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 197:48:44.54"
193,pt192,3483083.0498,1224238.1256,35.0125," 31:14:40.84296"," 121:35:32.85723",35.0125,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:23.0,2020-01-02 11:15:23.0,2020-01-02 03:15:23.0,2020-01-02 03:15:23.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:01"," 197:07:00.46"
194,pt193,3483083.0506,1224238.1247,35.0085," 31:14:40.84299"," 121:35:32.85720",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:24.0,2020-01-02 11:15:24.0,2020-01-02 03:15:24.0,2020-01-02 03:15:24.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 197:35:32.54"
195,pt194,3483083.0492,1224238.1242,35.0065," 31:14:40.84294"," 121:35:32.85718",35.0065,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:15:25.0,2020-01-02 11:15:25.0,2020-01-02 03:15:25.0,2020-01-02 03:15:25.0,,2.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:16"," 198:41:55.18"
196,pt195,3483083.0466,1224238.1269,35.0125," 31:14:40.84285"," 121:35:32.85727",35.0125,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:26.0,2020-01-02 11:15:26.0,2020-01-02 03:15:26.0,2020-01-02 03:15:26.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:49"," 198:20:14.56"
