序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
164,pt163,3483083.0514,1224238.1242,35.0085," 31:14:40.84301"," 121:35:32.85719",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:14:54.0,2020-01-02 11:14:54.0,2020-01-02 03:14:54.0,2020-01-02 03:14:54.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:01:57.06"
165,pt164,3483083.0483,1224238.1223,35.0135," 31:14:40.84292"," 121:35:32.85711",35.0135,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:14:55.0,2020-01-02 11:14:55.0,2020-01-02 03:14:55.0,2020-01-02 03:14:55.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:37"," 197:13:42.17"
166,pt165,3483083.0504,1224238.1259,35.0055," 31:14:40.84298"," 121:35:32.85725",35.0055,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:14:56.0,2020-01-02 11:14:56.0,2020-01-02 03:14:56.0,2020-01-02 03:14:56.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:30"," 197:51:17.14"
167,pt166,3483083.0502,1224238.1259,35.0105," 31:14:40.84297"," 121:35:32.85725",35.0105,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:14:57.0,2020-01-02 11:14:57.0,2020-01-02 03:14:57.0,2020-01-02 03:14:57.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 197:51:08.54"
168,pt167,3483083.0469,1224238.1259,35.0135," 31:14:40.84286"," 121:35:32.85724",35.0135,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:14:58.0,2020-01-02 11:14:58.0,2020-01-02 03:14:58.0,2020-01-02 03:14:58.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:26"," 196:12:24.72"
169,pt168,3483083.0467,1224238.1258,35.0105," 31:14:40.84286"," 121:35:32.85723",35.0105,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:14:59.0,2020-01-02 11:14:59.0,2020-01-02 03:14:59.0,2020-01-02 03:14:59.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:52"," 196:42:44.96"
170,pt169,3483083.0488,1224238.1253,35.0135," 31:14:40.84292"," 121:35:32.85722",35.0135,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:00.0,2020-01-02 11:15:00.0,2020-01-02 03:15:00.0,2020-01-02 03:15:00.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:43"," 198:49:40.64"
171,pt170,3483083.0476,1224238.1264,35.0025," 31:14:40.84288"," 121:35:32.85726",35.0025,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:01.0,2020-01-02 11:15:01.0,2020-01-02 03:15:01.0,2020-01-02 03:15:01.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 197:49:20.54"
172,pt171,3483083.0479,1224238.1268,35.0135," 31:14:40.84289"," 121:35:32.85727",35.0135,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:02.0,2020-01-02 11:15:02.0,2020-01-02 03:15:02.0,2020-01-02 03:15:02.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:26"," 194:28:15.93"
173,pt172,3483083.0478,1224238.1232,35.0135," 31:14:40.84290"," 121:35:32.85714",35.0135,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:03.0,2020-01-02 11:15:03.0,2020-01-02 03:15:03.0,2020-01-02 03:15:03.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:51"," 195:00:13.82"
174,pt173,3483083.0515,1224238.1252,35.0085," 31:14:40.84301"," 121:35:32.85722",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:04.0,2020-01-02 11:15:04.0,2020-01-02 03:15:04.0,2020-01-02 03:15:04.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 196:18:52.23"
175,pt174,3483083.0491,1224238.1244,35.0085," 31:14:40.84294"," 121:35:32.85719",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:05.0,2020-01-02 11:15:05.0,2020-01-02 03:15:05.0,2020-01-02 03:15:05.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 197:33:44.54"
176,pt175,3483083.0504,1224238.1257,35.0125," 31:14:40.84298"," 121:35:32.85724",35.0125,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:06.0,2020-01-02 11:15:06.0,2020-01-02 03:15:06.0,2020-01-02 03:15:06.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:01"," 196:45:24.46"
177,pt176,3483083.0508,1224238.1246,35.0075," 31:14:40.84299"," 121:35:32.85720",35.0075,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:07.0,2020-01-02 11:15:07.0,2020-01-02 03:15:07.0,2020-01-02 03:15:07.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:28"," 197:15:06.22"
178,pt177,3483083.0500,1224238.1256,35.0045," 31:14:40.84296"," 121:35:32.85723",35.0045,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:08.0,2020-01-02 11:15:08.0,2020-01-02 03:15:08.0,2020-01-02 03:15:08.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:52"," 196:25:56.96"
179,pt178,3483083.0478,1224238.1230,35.0045," 31:14:40.84290"," 121:35:32.85713",35.0045,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:09.0,2020-01-02 11:15:09.0,2020-01-02 03:15:09.0,2020-01-02 03:15:09.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:36:16.23"
180,pt179,3483083.0504,1224238.1263,35.0125," 31:14:40.84297"," 121:35:32.85726",35.0125,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:10.0,2020-01-02 11:15:10.0,2020-01-02 03:15:10.0,2020-01-02 03:15:10.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:49"," 199:02:14.56"
181,pt180,3483083.0509,1224238.1262,35.0095," 31:14:40.84299"," 121:35:32.85726",35.0095,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:11.0,2020-01-02 11:15:11.0,2020-01-02 03:15:11.0,2020-01-02 03:15:11.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:37"," 197:11:54.17"
182,pt181,3483083.0486,1224238.1277,35.0115," 31:14:40.84291"," 121:35:32.85731",35.0115,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:12.0,2020-01-02 11:15:12.0,2020-01-02 03:15:12.0,2020-01-02 03:15:12.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 196:27:36.72"
183,pt182,3483083.0487,1224238.1269,35.0125," 31:14:40.84292"," 121:35:32.85728",35.0125,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:13.0,2020-01-02 11:15:13.0,2020-01-02 03:15:13.0,2020-01-02 03:15:13.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:00"," 195:22:11.29"
184,pt183,3483083.0486,1224238.1256,35.0075," 31:14:40.84292"," 121:35:32.85723",35.0075,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:14.0,2020-01-02 11:15:14.0,2020-01-02 03:15:14.0,2020-01-02 03:15:14.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 195:23:30.09"
185,pt184,3483083.0492,1224238.1246,35.0065," 31:14:40.84294"," 121:35:32.85720",35.0065,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:15.0,2020-01-02 11:15:15.0,2020-01-02 03:15:15.0,2020-01-02 03:15:15.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:26"," 195:58:00.72"
186,pt185,3483083.0474,1224238.1249,35.0135," 31:14:40.84288"," 121:35:32.85720",35.0135,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:16.0,2020-01-02 11:15:16.0,2020-01-02 03:15:16.0,2020-01-02 03:15:16.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 196:07:48.72"
