序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
25,pt24,3483083.0574,1224238.1220,35.0115," 31:14:40.84321"," 121:35:32.85712",35.0115,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:01.0,2020-01-02 10:50:01.0,2020-01-02 02:50:01.0,2020-01-02 02:50:01.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:17:12.72"
26,pt25,3483083.0540,1224238.1218,35.0085," 31:14:40.84310"," 121:35:32.85710",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:02.0,2020-01-02 10:50:02.0,2020-01-02 02:50:02.0,2020-01-02 02:50:02.0,,1.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:16"," 195:21:40.09"
27,pt26,3483083.0556,1224238.1205,35.0095," 31:14:40.84316"," 121:35:32.85706",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:03.0,2020-01-02 10:50:03.0,2020-01-02 02:50:03.0,2020-01-02 02:50:03.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:00:24.72"
28,pt27,3483083.0581,1224238.1209,35.0015," 31:14:40.84323"," 121:35:32.85708",35.0015,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:04.0,2020-01-02 10:50:04.0,2020-01-02 02:50:04.0,2020-01-02 02:50:04.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:48:28.09"
29,pt28,3483083.0595,1224238.1208,35.0055," 31:14:40.84328"," 121:35:32.85708",35.0055,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:05.0,2020-01-02 10:50:05.0,2020-01-02 02:50:05.0,2020-01-02 02:50:05.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:03:10.44"
30,pt29,3483083.0587,1224238.1201,35.0055," 31:14:40.84325"," 121:35:32.85705",35.0055,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:06.0,2020-01-02 10:50:06.0,2020-01-02 02:50:06.0,2020-01-02 02:50:06.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:51:46.44"
31,pt30,3483083.0552,1224238.1179,35.0085," 31:14:40.84315"," 121:35:32.85696",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:07.0,2020-01-02 10:50:07.0,2020-01-02 02:50:07.0,2020-01-02 02:50:07.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:40:22.44"
32,pt31,3483083.0544,1224238.1199,35.0085," 31:14:40.84312"," 121:35:32.85703",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:08.0,2020-01-02 10:50:08.0,2020-01-02 02:50:08.0,2020-01-02 02:50:08.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:35:48.72"
33,pt32,3483083.0566,1224238.1184,35.0025," 31:14:40.84319"," 121:35:32.85698",35.0025,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:09.0,2020-01-02 10:50:09.0,2020-01-02 02:50:09.0,2020-01-02 02:50:09.0,,1.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:18:24.72"
34,pt33,3483083.0568,1224238.1184,35.0045," 31:14:40.84320"," 121:35:32.85698",35.0045,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:10.0,2020-01-02 10:50:10.0,2020-01-02 02:50:10.0,2020-01-02 02:50:10.0,,2.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:44:12.72"
