序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
21,pt20,3483083.0556,1224238.1227,35.0055," 31:14:40.84315"," 121:35:32.85714",35.0055,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:57.0,2020-01-02 10:49:57.0,2020-01-02 02:49:57.0,2020-01-02 02:49:57.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:43:36.72"," -00:31:12"," -00:31:48"," 150:10:48.00"," 31:14:40.85913"," 121:35:32.86434",35.0055,929.4887," 46:38:23.01988",0.0000,,,-2859303.1192,4649101.2295,3289135.3449,0:0:0
22,pt21,3483083.0548,1224238.1186,35.0125," 31:14:40.84313"," 121:35:32.85698",35.0125,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:58.0,2020-01-02 10:49:58.0,2020-01-02 02:49:58.0,2020-01-02 02:49:58.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:16"," 195:02:28.09"," -00:30:36"," -00:30:36"," 150:02:24.00"," 31:14:40.85912"," 121:35:32.86418",35.0125,929.4922," 46:38:23.50725",0.0000,,,-2859303.1190,4649101.2370,3289135.3481,0:0:0
23,pt22,3483083.0533,1224238.1240,35.0015," 31:14:40.84307"," 121:35:32.85718",35.0015,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:59.0,2020-01-02 10:49:59.0,2020-01-02 02:49:59.0,2020-01-02 02:49:59.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:32:34.44"," -00:30:36"," -00:31:48"," 150:26:24.00"," 31:14:40.85906"," 121:35:32.86438",35.0015,929.4892," 46:38:22.46054",0.0000,,,-2859303.1190,4649101.2270,3289135.3408,0:0:0
24,pt23,3483083.0512,1224238.1195,35.0095," 31:14:40.84302"," 121:35:32.85701",35.0095,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:00.0,2020-01-02 10:50:00.0,2020-01-02 02:50:00.0,2020-01-02 02:50:00.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:39:24.72"," -00:31:12"," -00:31:48"," 150:06:36.00"," 31:14:40.85900"," 121:35:32.86421",35.0095,929.4940," 46:38:22.79955",0.0000,,,-2859303.1192,4649101.2360,3289135.3435,0:0:0
25,pt24,3483083.0574,1224238.1220,35.0115," 31:14:40.84321"," 121:35:32.85712",35.0115,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:01.0,2020-01-02 10:50:01.0,2020-01-02 02:50:01.0,2020-01-02 02:50:01.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:17:12.72"," -00:31:12"," -00:31:48"," 149:44:24.00"," 31:14:40.85919"," 121:35:32.86432",35.0115,929.4879," 46:38:23.39973",0.0000,,,-2859303.1210,4649101.2333,3289135.3496,0:0:0
26,pt25,3483083.0540,1224238.1218,35.0085," 31:14:40.84310"," 121:35:32.85710",35.0085,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:02.0,2020-01-02 10:50:02.0,2020-01-02 02:50:02.0,2020-01-02 02:50:02.0,,1.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:16"," 195:21:40.09"," -00:30:36"," -00:30:36"," 150:21:36.00"," 31:14:40.85908"," 121:35:32.86430",35.0085,929.4904," 46:38:22.88884",0.0000,,,-2859303.1202,4649101.2328,3289135.3451,0:0:0
27,pt26,3483083.0556,1224238.1205,35.0095," 31:14:40.84316"," 121:35:32.85706",35.0095,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:03.0,2020-01-02 10:50:03.0,2020-01-02 02:50:03.0,2020-01-02 02:50:03.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:00:24.72"," -00:31:12"," -00:31:48"," 149:27:36.00"," 31:14:40.85914"," 121:35:32.86426",35.0095,929.4903," 46:38:23.35573",0.0000,,,-2859303.1191,4649101.2334,3289135.3471,0:0:0
28,pt27,3483083.0581,1224238.1209,35.0015," 31:14:40.84323"," 121:35:32.85708",35.0015,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:04.0,2020-01-02 10:50:04.0,2020-01-02 02:50:04.0,2020-01-02 02:50:04.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:48:28.09"," -00:30:36"," -00:32:24"," 150:10:12.00"," 31:14:40.85922"," 121:35:32.86428",35.0015,929.4882," 46:38:23.68676",0.0000,,,-2859303.1154,4649101.2262,3289135.3451,0:0:0
29,pt28,3483083.0595,1224238.1208,35.0055," 31:14:40.84328"," 121:35:32.85708",35.0055,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:05.0,2020-01-02 10:50:05.0,2020-01-02 02:50:05.0,2020-01-02 02:50:05.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:03:10.44"," -00:30:36"," -00:31:48"," 149:57:00.00"," 31:14:40.85926"," 121:35:32.86428",35.0055,929.4873," 46:38:23.93521",0.0000,,,-2859303.1168,4649101.2285,3289135.3484,0:0:0
30,pt29,3483083.0587,1224238.1201,35.0055," 31:14:40.84325"," 121:35:32.85705",35.0055,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:50:06.0,2020-01-02 10:50:06.0,2020-01-02 02:50:06.0,2020-01-02 02:50:06.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:51:46.44"," -00:30:36"," -00:31:48"," 149:45:36.00"," 31:14:40.85924"," 121:35:32.86425",35.0055,929.4884," 46:38:23.89867",0.0000,,,-2859303.1164,4649101.2293,3289135.3477,0:0:0
