序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
21,pt20,3483083.0601,1224238.1201,35.0065," 31:14:40.84330"," 121:35:32.85705",35.0065,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:12.0,2019-12-25 11:53:12.0,2019-12-25 03:53:12.0,2019-12-25 03:53:12.0,,2.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:08"," 38:21:38.87"," -00:46:12"," -00:28:12"," 06:57:36.00"," 31:14:40.85928"," 121:35:32.86425",35.0065,929.4875," 46:38:24.13501",0.0000,,,-2859303.1165,4649101.2294,3289135.3494,0:0:0
22,pt21,3483083.0611,1224238.1215,35.0085," 31:14:40.84333"," 121:35:32.85711",35.0085,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:13.0,2019-12-25 11:53:13.0,2019-12-25 03:53:13.0,2019-12-25 03:53:13.0,,2.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:38"," 38:03:46.83"," -00:46:48"," -00:28:12"," 06:59:24.00"," 31:14:40.85931"," 121:35:32.86431",35.0085,929.4858," 46:38:24.08451",0.0000,,,-2859303.1184,4649101.2296,3289135.3512,0:0:0
23,pt22,3483083.0601,1224238.1194,35.0015," 31:14:40.84330"," 121:35:32.85703",35.0015,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:14.0,2019-12-25 11:53:14.0,2019-12-25 03:53:14.0,2019-12-25 03:53:14.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:38"," 38:10:22.83"," -00:46:48"," -00:28:12"," 07:06:00.00"," 31:14:40.85928"," 121:35:32.86423",35.0015,929.4879," 46:38:24.23398",0.0000,,,-2859303.1137,4649101.2260,3289135.3468,0:0:0
24,pt23,3483083.0614,1224238.1216,35.0035," 31:14:40.84334"," 121:35:32.85711",35.0035,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:15.0,2019-12-25 11:53:15.0,2019-12-25 03:53:15.0,2019-12-25 03:53:15.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:53:37"," 38:38:41.44"," -00:45:36"," -00:28:12"," 06:54:36.00"," 31:14:40.85932"," 121:35:32.86432",35.0035,929.4855," 46:38:24.11918",0.0000,,,-2859303.1162,4649101.2258,3289135.3489,0:0:0
25,pt24,3483083.0600,1224238.1221,35.0085," 31:14:40.84329"," 121:35:32.85713",35.0085,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:16.0,2019-12-25 11:53:16.0,2019-12-25 03:53:16.0,2019-12-25 03:53:16.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:15"," 39:34:57.97"," -00:45:36"," -00:29:24"," 06:46:12.00"," 31:14:40.85928"," 121:35:32.86433",35.0085,929.4861," 46:38:23.81202",0.0000,,,-2859303.1191,4649101.2299,3289135.3502,0:0:0
26,pt25,3483083.0573,1224238.1209,35.0045," 31:14:40.84321"," 121:35:32.85708",35.0045,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:17.0,2019-12-25 11:53:17.0,2019-12-25 03:53:17.0,2019-12-25 03:53:17.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:09:45.38"," -00:46:12"," -00:29:24"," 06:41:24.00"," 31:14:40.85919"," 121:35:32.86428",35.0045,929.4888," 46:38:23.54995",0.0000,,,-2859303.1169,4649101.2288,3289135.3459,0:0:0
27,pt26,3483083.0591,1224238.1194,35.0045," 31:14:40.84327"," 121:35:32.85703",35.0045,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:18.0,2019-12-25 11:53:18.0,2019-12-25 03:53:18.0,2019-12-25 03:53:18.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:08"," 38:05:26.87"," -00:46:12"," -00:28:12"," 06:41:24.00"," 31:14:40.85925"," 121:35:32.86423",35.0045,929.4886," 46:38:24.07909",0.0000,,,-2859303.1152,4649101.2286,3289135.3476,0:0:0
28,pt27,3483083.0603,1224238.1212,35.0095," 31:14:40.84330"," 121:35:32.85710",35.0095,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:19.0,2019-12-25 11:53:19.0,2019-12-25 03:53:19.0,2019-12-25 03:53:19.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:16"," 39:12:31.23"," -00:46:48"," -00:29:24"," 07:04:12.00"," 31:14:40.85929"," 121:35:32.86430",35.0095,929.4865," 46:38:23.99486",0.0000,,,-2859303.1188,4649101.2309,3289135.3511,0:0:0
29,pt28,3483083.0632,1224238.1230,35.0005," 31:14:40.84339"," 121:35:32.85717",35.0005,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:20.0,2019-12-25 11:53:20.0,2019-12-25 03:53:20.0,2019-12-25 03:53:20.0,,2.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:28:57.38"," -00:46:12"," -00:29:24"," 07:00:36.00"," 31:14:40.85938"," 121:35:32.86437",35.0005,929.4832," 46:38:24.18965",0.0000,,,-2859303.1157,4649101.2221,3289135.3487,0:0:0
30,pt29,3483083.0618,1224238.1221,35.0075," 31:14:40.84335"," 121:35:32.85713",35.0075,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:21.0,2019-12-25 11:53:21.0,2019-12-25 03:53:21.0,2019-12-25 03:53:21.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:09"," 38:04:52.79"," -00:47:24"," -00:28:12"," 07:19:48.00"," 31:14:40.85933"," 121:35:32.86433",35.0075,929.4849," 46:38:24.10055",0.0000,,,-2859303.1183,4649101.2283,3289135.3512,0:0:0
31,pt30,3483083.0606,1224238.1201,35.0025," 31:14:40.84332"," 121:35:32.85706",35.0025,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:22.0,2019-12-25 11:53:22.0,2019-12-25 03:53:22.0,2019-12-25 03:53:22.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:57"," 38:02:20.01"," -00:46:48"," -00:28:48"," 06:25:48.00"," 31:14:40.85930"," 121:35:32.86426",35.0025,929.4870," 46:38:24.20901",0.0000,,,-2859303.1146,4649101.2261,3289135.3478,0:0:0
32,pt31,3483083.0590,1224238.1186,35.0085," 31:14:40.84327"," 121:35:32.85700",35.0085,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:23.0,2019-12-25 11:53:23.0,2019-12-25 03:53:23.0,2019-12-25 03:53:23.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:09"," 37:45:40.79"," -00:47:24"," -00:28:12"," 07:00:36.00"," 31:14:40.85925"," 121:35:32.86420",35.0085,929.4893," 46:38:24.18141",0.0000,,,-2859303.1164,4649101.2320,3289135.3496,0:0:0
33,pt32,3483083.0615,1224238.1208,35.0005," 31:14:40.84334"," 121:35:32.85708",35.0005,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:24.0,2019-12-25 11:53:24.0,2019-12-25 03:53:24.0,2019-12-25 03:53:24.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:38"," 38:04:22.83"," -00:46:48"," -00:28:12"," 07:00:00.00"," 31:14:40.85933"," 121:35:32.86429",35.0005,929.4860," 46:38:24.25002",0.0000,,,-2859303.1141,4649101.2240,3289135.3474,0:0:0
34,pt33,3483083.0598,1224238.1185,35.0045," 31:14:40.84330"," 121:35:32.85699",35.0045,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:25.0,2019-12-25 11:53:25.0,2019-12-25 03:53:25.0,2019-12-25 03:53:25.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:26"," 39:01:47.37"," -00:46:12"," -00:28:48"," 07:05:24.00"," 31:14:40.85928"," 121:35:32.86419",35.0045,929.4888," 46:38:24.33649",0.0000,,,-2859303.1143,4649101.2288,3289135.3482,0:0:0
35,pt34,3483083.0603,1224238.1208,35.0035," 31:14:40.84331"," 121:35:32.85708",35.0035,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:26.0,2019-12-25 11:53:26.0,2019-12-25 03:53:26.0,2019-12-25 03:53:26.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:26"," 38:55:11.37"," -00:46:12"," -00:28:48"," 06:58:48.00"," 31:14:40.85929"," 121:35:32.86428",35.0035,929.4868," 46:38:24.06028",0.0000,,,-2859303.1157,4649101.2267,3289135.3480,0:0:0
36,pt35,3483083.0601,1224238.1212,34.9985," 31:14:40.84330"," 121:35:32.85710",34.9985,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:27.0,2019-12-25 11:53:27.0,2019-12-25 03:53:27.0,2019-12-25 03:53:27.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:15"," 40:06:45.97"," -00:45:36"," -00:29:24"," 07:18:00.00"," 31:14:40.85928"," 121:35:32.86430",34.9985,929.4866," 46:38:23.96541",0.0000,,,-2859303.1139,4649101.2229,3289135.3452,0:0:0
37,pt36,3483083.0594,1224238.1192,35.0105," 31:14:40.84328"," 121:35:32.85702",35.0105,,,,,,,1.5125,0.0120,0.0110,0.0163,0.0320,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:28.0,2019-12-25 11:53:28.0,2019-12-25 03:53:28.0,2019-12-25 03:53:28.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:38"," 38:12:46.83"," -00:46:48"," -00:28:12"," 07:08:24.00"," 31:14:40.85926"," 121:35:32.86422",35.0105,929.4886," 46:38:24.15383",0.0000,,,-2859303.1177,4649101.2330,3289135.3509,0:0:0
