序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
25,pt24,3483083.0642,1224238.1274,35.0107," 31:14:40.84341"," 121:35:32.85734",35.0107,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:28.0,2019-12-25 10:27:28.0,2019-12-25 02:27:28.0,2019-12-25 02:27:28.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:39"," 138:23:25.15"," -00:34:12"," -00:36:00"," 91:55:12.00"," 31:14:40.85940"," 121:35:32.86454",35.0107,929.4794," 46:38:23.67562",0.0000,,,-2859303.1238,4649101.2269,3289135.3545,0:0:0
26,pt25,3483083.0632,1224238.1244,35.0137," 31:14:40.84339"," 121:35:32.85722",35.0137,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:29.0,2019-12-25 10:27:29.0,2019-12-25 02:27:29.0,2019-12-25 02:27:29.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:08"," 139:45:44.65"," -00:33:36"," -00:37:12"," 91:51:00.00"," 31:14:40.85937"," 121:35:32.86443",35.0137,929.4823," 46:38:23.97065",0.0000,,,-2859303.1228,4649101.2310,3289135.3554,0:0:0
27,pt26,3483083.0629,1224238.1242,35.0177," 31:14:40.84338"," 121:35:32.85722",35.0177,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:30.0,2019-12-25 10:27:30.0,2019-12-25 02:27:30.0,2019-12-25 02:27:30.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:17"," 139:33:08.82"," -00:33:00"," -00:36:36"," 91:35:24.00"," 31:14:40.85936"," 121:35:32.86442",35.0177,929.4826," 46:38:23.94586",0.0000,,,-2859303.1245,4649101.2341,3289135.3573,0:0:0
28,pt27,3483083.0631,1224238.1252,35.0127," 31:14:40.84339"," 121:35:32.85725",35.0127,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:31.0,2019-12-25 10:27:31.0,2019-12-25 02:27:31.0,2019-12-25 02:27:31.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:08"," 139:32:32.65"," -00:33:36"," -00:37:12"," 91:37:48.00"," 31:14:40.85937"," 121:35:32.86446",35.0127,929.4817," 46:38:23.84205",0.0000,,,-2859303.1230,4649101.2299,3289135.3548,0:0:0
29,pt28,3483083.0621,1224238.1259,35.0067," 31:14:40.84335"," 121:35:32.85728",35.0067,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:32.0,2019-12-25 10:27:32.0,2019-12-25 02:27:32.0,2019-12-25 02:27:32.0,,2.0,36,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:58"," 139:19:26.49"," -00:34:12"," -00:37:48"," 91:27:36.00"," 31:14:40.85933"," 121:35:32.86448",35.0067,929.4819," 46:38:23.57552",0.0000,,,-2859303.1211,4649101.2257,3289135.3508,0:0:0
30,pt29,3483083.0633,1224238.1231,35.0067," 31:14:40.84340"," 121:35:32.85717",35.0067,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:33.0,2019-12-25 10:27:33.0,2019-12-25 02:27:33.0,2019-12-25 02:27:33.0,,2.0,36,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:51:23"," 139:11:52.39"," -00:34:48"," -00:37:48"," 91:49:48.00"," 31:14:40.85938"," 121:35:32.86438",35.0067,929.4831," 46:38:24.19337",0.0000,,,-2859303.1185,4649101.2265,3289135.3520,0:0:0
31,pt30,3483083.0638,1224238.1207,35.0127," 31:14:40.84342"," 121:35:32.85709",35.0127,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:34.0,2019-12-25 10:27:34.0,2019-12-25 02:27:34.0,2019-12-25 02:27:34.0,,2.0,36,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:41"," 139:19:42.89"," -00:33:36"," -00:36:36"," 91:52:48.00"," 31:14:40.85940"," 121:35:32.86429",35.0127,929.4845," 46:38:24.63715",0.0000,,,-2859303.1190,4649101.2317,3289135.3557,0:0:0
32,pt31,3483083.0619,1224238.1229,35.0107," 31:14:40.84335"," 121:35:32.85717",35.0107,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:35.0,2019-12-25 10:27:35.0,2019-12-25 02:27:35.0,2019-12-25 02:27:35.0,,2.0,36,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:30"," 137:56:08.50"," -00:34:48"," -00:36:36"," 91:29:24.00"," 31:14:40.85933"," 121:35:32.86437",35.0107,929.4842," 46:38:23.98928",0.0000,,,-2859303.1204,4649101.2301,3289135.3529,0:0:0
33,pt32,3483083.0618,1224238.1229,35.0047," 31:14:40.84335"," 121:35:32.85717",35.0047,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:36.0,2019-12-25 10:27:36.0,2019-12-25 02:27:36.0,2019-12-25 02:27:36.0,,2.0,36,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:51:23"," 139:10:04.39"," -00:34:48"," -00:37:48"," 91:48:00.00"," 31:14:40.85933"," 121:35:32.86437",35.0047,929.4842," 46:38:23.97120",0.0000,,,-2859303.1178,4649101.2258,3289135.3497,0:0:0
34,pt33,3483083.0608,1224238.1220,35.0087," 31:14:40.84332"," 121:35:32.85713",35.0087,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:37.0,2019-12-25 10:27:37.0,2019-12-25 02:27:37.0,2019-12-25 02:27:37.0,,2.0,36,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:34"," 140:12:29.02"," -00:33:36"," -00:37:48"," 91:50:24.00"," 31:14:40.85930"," 121:35:32.86433",35.0087,929.4856," 46:38:23.95050",0.0000,,,-2859303.1190,4649101.2296,3289135.3510,0:0:0
