序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
21,pt20,3483083.0504,1224238.1248,35.0115," 31:14:40.84298"," 121:35:32.85721",35.0115,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:36.0,2019-12-25 14:31:36.0,2019-12-25 06:31:36.0,2019-12-25 06:31:36.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:01"," 147:37:51.97"," -00:35:24"," -00:29:24"," 107:55:12.00"," 31:14:40.85896"," 121:35:32.86441",35.0115,742.0766," 172:06:41.93766",0.0000,,,-2859303.1248,4649101.2353,3289135.3435,0:0:0
22,pt21,3483083.0504,1224238.1235,35.0115," 31:14:40.84298"," 121:35:32.85716",35.0115,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:37.0,2019-12-25 14:31:37.0,2019-12-25 06:31:37.0,2019-12-25 06:31:37.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:29"," 147:57:30.83"," -00:36:00"," -00:29:24"," 108:43:12.00"," 31:14:40.85896"," 121:35:32.86436",35.0115,742.0768," 172:06:41.58245",0.0000,,,-2859303.1237,4649101.2359,3289135.3436,0:0:0
23,pt22,3483083.0494,1224238.1231,35.0095," 31:14:40.84295"," 121:35:32.85714",35.0095,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:38.0,2019-12-25 14:31:38.0,2019-12-25 06:31:38.0,2019-12-25 06:31:38.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:44:25"," 146:27:32.87"," -00:34:48"," -00:27:36"," 108:02:24.00"," 31:14:40.85893"," 121:35:32.86434",35.0095,742.0758," 172:06:41.42765",0.0000,,,-2859303.1227,4649101.2351,3289135.3417,0:0:0
24,pt23,3483083.0463,1224238.1257,35.0045," 31:14:40.84284"," 121:35:32.85723",35.0045,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:39.0,2019-12-25 14:31:39.0,2019-12-25 06:31:39.0,2019-12-25 06:31:39.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:45:38"," 147:25:17.59"," -00:35:24"," -00:28:48"," 108:17:24.00"," 31:14:40.85883"," 121:35:32.86443",35.0045,742.0724," 172:06:42.02129",0.0000,,,-2859303.1233,4649101.2317,3289135.3363,0:0:0
25,pt24,3483083.0506,1224238.1242,35.0055," 31:14:40.84298"," 121:35:32.85718",35.0055,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:40.0,2019-12-25 14:31:40.0,2019-12-25 06:31:40.0,2019-12-25 06:31:40.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:45:57"," 148:25:29.31"," -00:34:48"," -00:30:00"," 107:39:36.00"," 31:14:40.85897"," 121:35:32.86438",35.0055,742.0768," 172:06:41.78234",0.0000,,,-2859303.1216,4649101.2311,3289135.3405,0:0:0
26,pt25,3483083.0503,1224238.1236,34.9965," 31:14:40.84298"," 121:35:32.85716",34.9965,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:41.0,2019-12-25 14:31:41.0,2019-12-25 06:31:41.0,2019-12-25 06:31:41.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:45:33"," 147:49:23.58"," -00:34:48"," -00:29:24"," 107:37:48.00"," 31:14:40.85896"," 121:35:32.86436",34.9965,742.0766," 172:06:41.59795",0.0000,,,-2859303.1171,4649101.2250,3289135.3357,0:0:0
27,pt26,3483083.0491,1224238.1239,35.0045," 31:14:40.84294"," 121:35:32.85717",35.0045,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:42.0,2019-12-25 14:31:42.0,2019-12-25 06:31:42.0,2019-12-25 06:31:42.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:01"," 147:58:51.97"," -00:35:24"," -00:29:24"," 108:16:12.00"," 31:14:40.85892"," 121:35:32.86437",35.0045,742.0754," 172:06:41.64585",0.0000,,,-2859303.1212,4649101.2312,3289135.3388,0:0:0
28,pt27,3483083.0502,1224238.1258,35.0085," 31:14:40.84297"," 121:35:32.85724",35.0085,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:43.0,2019-12-25 14:31:43.0,2019-12-25 06:31:43.0,2019-12-25 06:31:43.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:44"," 149:25:44.90"," -00:34:48"," -00:31:12"," 107:33:00.00"," 31:14:40.85895"," 121:35:32.86444",35.0085,742.0763," 172:06:42.20975",0.0000,,,-2859303.1244,4649101.2327,3289135.3417,0:0:0
29,pt28,3483083.0470,1224238.1252,35.0145," 31:14:40.84287"," 121:35:32.85721",35.0145,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:44.0,2019-12-25 14:31:44.0,2019-12-25 06:31:44.0,2019-12-25 06:31:44.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 146:40:31.37"," -00:36:36"," -00:29:24"," 107:54:00.00"," 31:14:40.85885"," 121:35:32.86441",35.0145,742.0732," 172:06:41.92937",0.0000,,,-2859303.1273,4649101.2388,3289135.3421,0:0:0
30,pt29,3483083.0510,1224238.1257,35.0015," 31:14:40.84299"," 121:35:32.85724",35.0015,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:45.0,2019-12-25 14:31:45.0,2019-12-25 06:31:45.0,2019-12-25 06:31:45.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:52"," 147:42:24.49"," -00:36:00"," -00:30:00"," 107:54:00.00"," 31:14:40.85898"," 121:35:32.86444",35.0015,742.0769," 172:06:42.21909",0.0000,,,-2859303.1211,4649101.2273,3289135.3387,0:0:0
